0.001;18.41
0.108;18.40
0.213;18.41
0.319;18.40
0.425;18.40
0.531;18.41
0.637;18.31
0.743;18.40
0.848;18.40
0.955;18.41
1.06;18.40
1.166;18.31
1.272;18.41
1.377;18.41
1.484;18.41
1.589;18.40
1.696;18.40
1.801;18.41
1.908;18.29
2.013;18.40
2.119;18.40
2.225;18.41
2.331;18.41
2.437;18.41
2.543;18.40
2.648;18.40
2.755;18.41
2.86;18.40
2.967;18.41
3.072;18.40
3.179;18.31
3.284;18.41
3.39;18.40
3.496;18.40
3.602;18.40
3.708;18.31
3.814;18.41
3.919;18.41
4.026;17.97
4.131;18.41
4.237;18.40
4.343;18.41
4.449;18.31
4.555;18.41
4.66;18.41
4.767;18.41
4.872;18.41
4.979;18.41
5.084;18.41
5.191;18.29
5.296;18.41
5.402;18.41
5.508;18.40
5.614;18.41
5.72;18.41
5.826;18.41
5.931;17.97
6.038;18.41
6.143;18.41
6.25;17.98
6.355;18.40
6.461;18.41
6.567;18.41
6.673;18.41
6.779;18.40
6.885;18.40
6.991;18.41
7.096;18.43
7.203;18.34
7.308;18.40
7.414;18.40
7.52;18.40
7.626;18.40
7.732;18.41
7.838;18.40
7.944;18.29
8.05;18.41
8.155;18.40
8.262;18.40
8.367;18.41
8.474;17.95
8.579;18.40
8.686;18.41
8.791;18.40
8.897;17.95
9.003;18.40
9.109;18.40
9.215;18.40
9.321;17.93
9.426;18.40
9.533;18.41
9.638;18.36
9.745;18.41
9.85;18.40
9.955;17.95
10.062;18.41
10.167;18.41
10.274;18.41
10.379;18.40
10.486;18.41
